customer_id,device_id
0d244537-8164-4b84-bcf2-0e43766f3221,3ab7d21b-48dd-44f8-88ae-c99a4dd51ef1
0d244537-8164-4b84-bcf2-0e43766f3221,56f3a452-b3f5-488b-b90d-8cb2b3343c70
0d244537-8164-4b84-bcf2-0e43766f3221,dd49cd20-eacc-49f1-b4b5-92551e77d916
0d244537-8164-4b84-bcf2-0e43766f3221,faced7cc-4d83-4505-9d86-497626fe16d0
66c5800b-ad5c-4fac-86df-16472d82f02d,cd83e240-0d50-4e67-b146-23deb6c49940
e7852eee-0a28-46dc-aa34-445a02530746,369b8950-dfae-44ce-bbb4-d292f118be67
14f0e67d-e60e-4989-88cf-5be50d515a69,3e83071f-53ed-4a05-9dfd-5ff2031443b5
1ce2f061-345c-4121-a4ba-32963cf9a15d,751d4410-3d73-4f4c-b432-10a0213b925f
6ddc1772-f210-4111-87c9-c2ec73776c37,f8013534-0730-4d00-8120-445e02ebed1f
9a3ae2d2-97d7-43b4-843c-ebac2fc0131c,f7bf7b38-f88f-4e85-b065-a163eb909a13
69814e99-477d-48dc-8d7b-2d1137f1cf37,ceaa4bc8-5dc0-42d8-830f-5461e6fabc1e
d081d287-527e-4a77-bd62-50e28a110ddb,6f5f7a22-9b27-4d01-b14e-ad09156419ab
5a298d80-e951-4565-98cb-5cb7ef301fc2,2d543635-2c5d-46c6-8c8e-5177b328ac31
cbb77d6e-4495-4c6b-b8d9-d5c3abd9ce1d,a0f776d6-bdad-4193-80a5-061dc067fc69
999fa048-4fc6-48d8-b200-31ceaccacda2,3057a80e-baff-4e0b-8e3a-55ac79b336ab
87544ae1-b19c-45b6-944e-8f66395cfe85,25e7c155-df65-44f6-8d59-5879c4bd767f
1388561a-72d1-4612-ae8b-1de74978e223,f6e5c540-3c28-4155-bf61-b73e4bfa558f
e3eca3cc-9010-498a-b9b5-f24afff9ed64,bab2bd94-8457-4d52-b8bb-9b9730e2ce43
399487d1-f9c0-4ae2-9227-300ae3eec148,7bb28466-408c-4461-9450-c30e3b42a818
723e2735-fe7c-42d8-a527-5f525ec43834,46e6c31c-f53b-44eb-8e00-ab090a1842de
d02ecde6-da99-4239-b5da-bb3b1eb421a0,2690ac62-a581-4aa6-8ac2-4e856be4596c
